src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AlpacaAccountDTO.java:83:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'disclosures' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AlpacaAccountDTO.java:90:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/AlpacaAccountDTO.java:101:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'agreements' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:6:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:12:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:12:	DataClass:	DataClass: The class 'ContactDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=14)
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:17:	FieldNamingConventions:	FieldNamingConventions: The field name 'email_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:22:	FieldNamingConventions:	FieldNamingConventions: The field name 'phone_number' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:25:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:27:	FieldNamingConventions:	FieldNamingConventions: The field name 'street_address' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:42:	FieldNamingConventions:	FieldNamingConventions: The field name 'postal_code' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/ContactDTO.java:54:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getEmail_address' doesn't match '[a-z][a-zA-Z0-9]*'
